open_time,close_time,symbol,side,open_price,close_price,volume,pnl,tx_hash,gas_cost_eth,tokens_sold,tokens_bought
2022-04-20 15:04:27,2022-04-20 15:04:27,CRV/sdCRV,SELL,1.00153118,1.00153118,140000.0,0,0xde20113310a732fc3ea8b4d2b87ddabcd604095e5caefb523cf5eea24733a94d,0.008937,CRV:140000.0,sdCRV:140214.3652
2022-04-20 15:10:20,2022-04-20 15:10:20,sdCRV/sdCRV-gauge,SELL,1.0,1.0,140214.36523708,0,0x575561d8bef25285fc50dd9f82a5d4828def5a5d15181b21ee5bae8dc823336f,0.014065,sdCRV:140214.3652,sdCRV-gauge:140214.3652
2022-04-20 15:12:11,2022-04-20 15:12:11,sdCRV-gauge/sdCRV,SELL,1.0,1.0,140214.36523708,0,0xbba9642609773d8063852e630ecdf9669d631d8cd81a40bebeb79d8b4d0d0cdb,0.011514,sdCRV-gauge:140214.3652,sdCRV:140214.3652
2022-04-20 15:14:58,2022-04-20 15:14:58,sdCRV/CRV,SELL,1.03403262,1.03403262,68000.0,0,0x110bff896f8a4bff3e0ef10e7fe55f045cf45ea46cf3f43714aea59427d87abd,0.00743,sdCRV:68000.0,CRV:70314.2181
2022-04-20 15:24:38,2022-04-20 15:24:38,sdCRV/sdCRV-gauge,SELL,1.0,1.0,72214.36523708,0,0xe87d3738d75a3d321d7e8975256661255b9be19df352cc10fde2e74cdf3eaa3c,0.01503,sdCRV:72214.3652,sdCRV-gauge:72214.3652
2022-04-20 17:17:39,2022-04-20 17:17:39,CRV/sdCRV-gauge,SELL,0.999,0.999,900000.0,0,0xafc5e5c274eb4c673e06ce9d12f8203d30e1c84fddf699718eaea3be43449de7,0.078018,CRV:900000.0,sdCRV-gauge:899100.0
2022-04-21 14:02:12,2022-04-21 14:02:12,3Crv/MIM,SELL,1.02085913,1.02085913,451588.98316461,0,0x87e605b209734f9d555d487c55b938f37cb483075e66c12cf450ba34945e36d2,0.007674,3Crv:451588.9832,MIM:461008.7375
2022-04-23 01:27:44,2022-04-23 01:27:44,CVX/crvCVXETH,SELL,0.04660672,0.04660672,2863.32252958,0,0x984e7ee91d3a8a5b4818e735f000d9cbdc82664483ee1499ba5017bb1a4d2b92,0.007954,CVX:2863.3225,crvCVXETH:133.4501
2022-04-23 01:28:48,2022-04-23 01:28:48,CRV/cvxcrv-f,SELL,1.03425596,1.03425596,21632.0,0,0xe9dced561a75fde3bed51dc09afe1ed5cd7e712aa3f4398edc20a194d529cbf3,0.004368,CRV:21632.0,cvxcrv-f:22373.025
2022-04-28 23:48:21,2022-04-28 23:48:21,3Crv/BUSD,SELL,1.0203896,1.0203896,184799.47998775,0,0x757c4efb4d1b06d324c190921a0166dfc1fea82199a8f953dc974e1d5e9a2f02,0.007086,3Crv:184799.48,BUSD:188567.4667
2022-04-30 23:42:30,2022-04-30 23:42:30,CVX/CRV,SELL,11.4240972,11.4240972,3841.7129854,0,0xde2acd4c112646aa6942df66afeb18c29464047e1a1d805812fe142e530d2b17,0.050782,CVX:3841.713,CRV:43888.1026
2022-04-30 23:43:35,2022-04-30 23:43:35,cvxCRV/CRV,SELL,0.99485261,0.99485261,1294.45370949,0,0x52cd5e8fc4ddb67d8b12284e5afc21e6867d4d52664f535834aeeb8444243127,0.008505,cvxCRV:1294.4537,CRV:1287.7907
2022-04-30 23:44:51,2022-04-30 23:44:51,CRV/aCRV,SELL,1.0,1.0,1000000.0,0,0x7479ae9e42d8f2569906d3519f7e7cbf4009094aee2f257f666514bb9693b9dd,0.021377,CRV:1000000.0,aCRV:1000000.0
2022-05-05 23:48:23,2022-05-05 23:48:23,3Crv/MIM,SELL,1.02390379,1.02390379,144929.41778106,0,0xa306e58b6949615f124e24b6727d47a4d2a7e297fcb213f3e1efb51d2bc9ea4e,0.005186,3Crv:144929.4178,MIM:148393.7806
2022-05-07 22:04:04,2022-05-07 22:04:04,SDT/USDT,BUY,0.78935854,0.78935854,63342.57219124,0,0x7caca4f0d0210465c5040bfa04c9a1476bef7b3e4c2a58ed2b0e1117a9bf1cbe,0.016972,USDT:50000.0,SDT:63342.5722
2022-05-09 03:25:27,2022-05-09 03:25:27,3Crv/USDC,BUY,5.11e-06,5.11e-06,979366.61021186,0,0x0d51b0ccf638006356f0a24bc312d2cd44f22283b8b0f9e1e0744bd04c9cd59b,0.005875,USDC:5.0,3Crv:979366.6102
2022-05-09 03:26:05,2022-05-09 03:26:05,3Crv/MIM,SELL,1.0241526,1.0241526,989809.41347466,0,0x323dfb0ef89e4dfee073abe638e3f5326fa028b35eb2d978385862544c3bf145,0.004163,3Crv:989809.4135,MIM:1013715.8861
2022-05-09 03:40:54,2022-05-09 03:40:54,CRV/aCRV,SELL,1.0,1.0,1000000.0,0,0xe2c67f72bfe3e3edad3135d4dff2b1e1f183b11a4907f6621fcd530a83778f8f,0.007735,CRV:1000000.0,aCRV:1000000.0
